,state,Total:_Estimate,Total:_Margin of Error,"    Less than $20,000_Estimate","    Less than $20,000_Margin of Error","    $20,000 to $39,999_Estimate","    $20,000 to $39,999_Margin of Error","    $40,000 to $59,999_Estimate","    $40,000 to $59,999_Margin of Error","    $60,000 to $99,999_Estimate","    $60,000 to $99,999_Margin of Error","    $100,000 to $149,999_Estimate","    $100,000 to $149,999_Margin of Error","    $150,000 to $199,999_Estimate","    $150,000 to $199,999_Margin of Error","    $200,000 or more_Estimate","    $200,000 or more_Margin of Error",PAYANN,PAYANN_S,PCHDAPR,PCHADVT,YEAR,DENSITY_2021,NPOPCHG_2021,POP_2021,RANK_PPOPCHG_2021,PPOPCHG_2021,Total:_Estimate_max,"    Less than $20,000_Estimate_max","    $20,000 to $39,999_Estimate_max","    $40,000 to $59,999_Estimate_max","    $60,000 to $99,999_Estimate_max","    $100,000 to $149,999_Estimate_max","    $150,000 to $199,999_Estimate_max","    $200,000 or more_Estimate_max",Total:_Estimate_min,"    Less than $20,000_Estimate_min","    $20,000 to $39,999_Estimate_min","    $40,000 to $59,999_Estimate_min","    $60,000 to $99,999_Estimate_min","    $100,000 to $149,999_Estimate_min","    $150,000 to $199,999_Estimate_min","    $200,000 or more_Estimate_min"
78,South Carolina,"2,009,401","+/-11,303","338,414","+/-6,909","388,017","+/-6,398","318,463","+/-4,501","455,398","+/-6,061","278,607","+/-6,028","112,425","+/-2,912","118,077","+/-3,987",63049,0.0,0.0,0.0,2012,172.6534487600,59976,5190705,5,1.1689566921,2032007,352232,400813,327465,467520,290663,118249,126051,1986795,324596,375221,309461,443276,266551,106601,110103
79,South Carolina,"2,009,401","+/-11,303","338,414","+/-6,909","388,017","+/-6,398","318,463","+/-4,501","455,398","+/-6,061","278,607","+/-6,028","112,425","+/-2,912","118,077","+/-3,987",77921,0.0,8537.69,5630.84,2017,172.6534487600,59976,5190705,5,1.1689566921,2032007,352232,400813,327465,467520,290663,118249,126051,1986795,324596,375221,309461,443276,266551,106601,110103
80,South Dakota,"349,073","+/-4,231","47,436","+/-2,408","58,423","+/-1,959","66,205","+/-2,291","90,610","+/-2,388","51,442","+/-2,304","19,968","+/-1,138","14,989","+/-1,398",64049,0.0,147.0,356.0,2012,11.8108489860,8277,895376,10,0.9330412953,357535,52252,62341,70787,95386,56050,22244,17785,340611,42620,54505,61623,85834,46834,17692,12193
81,South Dakota,"349,073","+/-4,231","47,436","+/-2,408","58,423","+/-1,959","66,205","+/-2,291","90,610","+/-2,388","51,442","+/-2,304","19,968","+/-1,138","14,989","+/-1,398",63186,0.0,147.0,356.0,2017,11.8108489860,8277,895376,10,0.9330412953,357535,52252,62341,70787,95386,56050,22244,17785,340611,42620,54505,61623,85834,46834,17692,12193
82,Tennessee,"2,702,490","+/-11,447","432,747","+/-7,029","510,330","+/-6,648","462,497","+/-5,015","628,377","+/-7,249","369,381","+/-5,390","144,871","+/-3,549","154,287","+/-4,931",172443,0.0,385.0,573.0,2012,169.1679021400,55099,6975218,13,0.7962146316,2725384,446805,523626,472527,642875,380161,151969,164149,2679596,418689,497034,452467,613879,358601,137773,144425
83,Tennessee,"2,702,490","+/-11,447","432,747","+/-7,029","510,330","+/-6,648","462,497","+/-5,015","628,377","+/-7,249","369,381","+/-5,390","144,871","+/-3,549","154,287","+/-4,931",169757,0.0,385.0,573.0,2017,169.1679021400,55099,6975218,13,0.7962146316,2725384,446805,523626,472527,642875,380161,151969,164149,2679596,418689,497034,452467,613879,358601,137773,144425
84,Texas,"10,270,966","+/-17,950","1,375,198","+/-10,660","1,705,827","+/-10,807","1,587,742","+/-9,543","2,333,786","+/-13,035","1,614,443","+/-10,243","772,130","+/-7,983","881,840","+/-12,957",19019170,0.0,196629.0,106561.0,2012,113.0182013800,310288,29527941,7,1.0619881070,10306866,1396518,1727441,1606828,2359856,1634929,788096,907754,10235066,1353878,1684213,1568656,2307716,1593957,756164,855926
85,Texas,"10,270,966","+/-17,950","1,375,198","+/-10,660","1,705,827","+/-10,807","1,587,742","+/-9,543","2,333,786","+/-13,035","1,614,443","+/-10,243","772,130","+/-7,983","881,840","+/-12,957",17551704,0.0,220039.0,136977.0,2017,113.0182013800,310288,29527941,7,1.0619881070,10306866,1396518,1727441,1606828,2359856,1634929,788096,907754,10235066,1353878,1684213,1568656,2307716,1593957,756164,855926
86,Utah,"1,052,033","+/-6,406","81,305","+/-2,641","137,078","+/-3,063","165,675","+/-2,519","278,178","+/-4,253","212,319","+/-3,931","90,604","+/-2,836","86,874","+/-3,021",952284,0.0,3867.0,3767.0,2012,40.5207956030,56291,3337975,2,1.7153083600,1064845,86587,143204,170713,286684,220181,96276,92916,1039221,76023,130952,160637,269672,204457,84932,80832
87,Utah,"1,052,033","+/-6,406","81,305","+/-2,641","137,078","+/-3,063","165,675","+/-2,519","278,178","+/-4,253","212,319","+/-3,931","90,604","+/-2,836","86,874","+/-3,021",601121,0.0,883.0,1710.0,2017,40.5207956030,56291,3337975,2,1.7153083600,1064845,86587,143204,170713,286684,220181,96276,92916,1039221,76023,130952,160637,269672,204457,84932,80832
