business_id;rating;num_rating;types;price_level
UFpCraqzFBAhtZqmxmiWsA;4.8;275;point_of_interest|establishment;
0_gh-ZRllduRLrjaYy0Icg;4;84;convenience_store|cafe|restaurant|food|point_of_interest|store|establishment;1
085mjp-y4qmKRMIj72x8xw;4.4;373;cafe|food|point_of_interest|establishment;
oKvzmVhA1dKf-UARX4EpzQ;4.5;273;cafe|food|point_of_interest|store|establishment;1
lo2VbA7Lwzu3i23pQpmzlw;4.3;367;cafe|restaurant|food|point_of_interest|store|establishment;2
w8C_pRQvdIXQ5VRWlW2M3w;4.7;528;bakery|cafe|food|point_of_interest|store|establishment;1
ws-gbVjt56zCQC-CR5pjTQ;4.2;769;bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment;1
lYxKXvDZGX9a3RwGuu0tPA;4.4;168;bakery|restaurant|food|point_of_interest|store|establishment;1
0zH0l4Jbf-oove3cLvrFOg;4.6;645;restaurant|food|point_of_interest|establishment;2
kgMEBZG6rjkGeFzPaIM4MQ;2.9;1605;cafe|restaurant|food|point_of_interest|store|establishment;1
ZyyExneJPXjci7yc2CGAPQ;4.5;2;cafe|food|point_of_interest|store|establishment;
cwvpVlg5BE2XXRWTHe3p9w;3.555476249077037;4063;cafe|restaurant|food|point_of_interest|store|establishment;1
bwlSGCjYLNwzXVD9CB_8EA;4.7;3;food|point_of_interest|store|establishment;
i7WnyDXKpT-mPaHEMY-HcQ;4.8;71;cafe|food|point_of_interest|store|establishment;
uxZENO1iy7tz8MK77L3_GQ;4.4;282;cafe|restaurant|food|point_of_interest|establishment;1
6WJ-dFE9axF2o55NQWrNgA;3.6;16;cafe|food|point_of_interest|store|establishment;
Bb3F76xkJrA-IwXLNK52RQ;4.9;59;cafe|food|point_of_interest|store|establishment;
-3-6BB10tIWNKGEF0Es2BA;4.3;285;meal_takeaway|restaurant|food|point_of_interest|establishment;2
XQfwVwDr-v0ZS3_CbbE5Xw;4.3;293;cafe|restaurant|food|point_of_interest|store|establishment;2
N7wYxm84QtcqTJZfGWpxzw;3.7;931;cafe|restaurant|food|point_of_interest|store|establishment;1
wCgIJhH_CTuwsSZPcafkng;3.806730769230769;832;bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment;1
2qhuQ-tnonyLEQLw2cbvAg;3.7;398;cafe|restaurant|food|point_of_interest|store|establishment;1
sZyBB8wv0O1We1x40-Edug;3.6;219;bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment;1
VJnq2lgXILRaGuXXlmRztw;2.4;20;food|point_of_interest|establishment;
RrqRin8BYGrTlJbCDwtLzA;3.2;154;convenience_store|cafe|restaurant|food|point_of_interest|store|establishment;1
bc3K8KvLkLNu_XU3RkeeeA;4.7;149;restaurant|food|point_of_interest|establishment;
vMD5bn1mbL18spr7Mmzlyg;4.1;780;cafe|restaurant|food|point_of_interest|store|establishment;2
aqubLw9IW03svL_uDXNJ8A;3.1;994;cafe|restaurant|food|point_of_interest|store|establishment;1
WJIc6ZlR-pd9W-Vt-rRtzA;4.7;51;cafe|food|point_of_interest|store|establishment;
Fr7An-N0iyNXOPDaoPEzHw;4.1;665;bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment;1
Rl7W2JPAUWFo2ZZdVeGAWA;4.4;384;restaurant|food|point_of_interest|establishment;1
